Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000028664	Ephb2	4
ENSMUSG00000064156	Prol1	5
ENSMUSG00000038665	Dgki	6
ENSMUSG00000022407	Adsl	15
ENSMUSG00000039963	Ccdc40	11
ENSMUSG00000029282	Amtn	5
ENSMUSG00000030533	Unc45a	7
ENSMUSG00000047014	Catsperb	12
ENSMUSG00000006740	Kif5b	18
ENSMUSG00000009739	Pou6f1	15
ENSMUSG00000044055	Otos	1
ENSMUSG00000040565	Btaf1	19
ENSMUSG00000039801	2410089E03Rik	15
ENSMUSG00000042097	Zfp239	6
ENSMUSG00000027894	Slc6a17	3
ENSMUSG00000052144	Ppp4r2	6
ENSMUSG00000024667	Tmem216	19
ENSMUSG00000028709	Mob3c	4
ENSMUSG00000069227	Gprin1	13
ENSMUSG00000062151	Unc13c	9
ENSMUSG00000030083	Abtb1	6
ENSMUSG00000023093	Gm7257	9
ENSMUSG00000022993	4930415O20Rik	15
ENSMUSG00000034891	Sncb	13
ENSMUSG00000036962	Cfap221	1
ENSMUSG00000030827	Fgf21	7
ENSMUSG00000055917	Zfp277	12
ENSMUSG00000027523	Gnas	2
ENSMUSG00000009216	Fam163b	2
ENSMUSG00000023210	Lcn9	2
ENSMUSG00000039860	Srrm3	5
ENSMUSG00000022442	Ttll1	15
ENSMUSG00000030323	Ift122	6
ENSMUSG00000048775	Serpinb13	1
ENSMUSG00000042079	Hnrnpf	6
ENSMUSG00000035095	Fam167a	14
ENSMUSG00000026357	Rgs18	1
ENSMUSG00000059119	Nap1l4	7
ENSMUSG00000049553	Polr1a	6
ENSMUSG00000067714	Lpar5	6
ENSMUSG00000034220	Gpc1	1
ENSMUSG00000042002	Foxn4	5
ENSMUSG00000058230	Arhgap35	7
ENSMUSG00000035781	R3hdm4	10
ENSMUSG00000035357	Pdzrn3	6
ENSMUSG00000020941	Map3k14	11
ENSMUSG00000000340	Dbt	3
ENSMUSG00000047034	Ankrd33	15
ENSMUSG00000038805	Six3	17
ENSMUSG00000021710	Nln	13
ENSMUSG00000034212	Ankmy1	1
ENSMUSG00000029528	Pxn	5
ENSMUSG00000073481	Marc2	1
ENSMUSG00000035773	Kiss1r	10
ENSMUSG00000050930	Map10	8
ENSMUSG00000051557	Pusl1	4
ENSMUSG00000090710	Gm9513	9
ENSMUSG00000068742	Cry2	2
ENSMUSG00000021214	Akr1c18	13
ENSMUSG00000020000	Moxd1	10
ENSMUSG00000026959	Grin1	2
ENSMUSG00000019831	Wasf1	10
ENSMUSG00000027457	Snph	2
ENSMUSG00000027386	Fbln7	2
ENSMUSG00000021697	Depdc1b	13
ENSMUSG00000036208	Nepro	16
ENSMUSG00000022994	Adcy6	15
ENSMUSG00000022204	Ngdn	14
ENSMUSG00000029034	Ints11	4
ENSMUSG00000036006	Ripor2	13
ENSMUSG00000042109	Csdc2	15
ENSMUSG00000035842	Ddx11	17
ENSMUSG00000051177	Plcb1	2
ENSMUSG00000031851	Ntpcr	8
ENSMUSG00000022668	Gtpbp8	16
ENSMUSG00000074448	Gm5615	9
ENSMUSG00000021953	Tdh	14
ENSMUSG00000000346	Dazap2	15
ENSMUSG00000084135	Pom121l12	11
ENSMUSG00000066366	Serpina1a	12
ENSMUSG00000027936	Crtc2	3
ENSMUSG00000032625	Thsd7a	6
ENSMUSG00000028938	Galntl5	5
ENSMUSG00000005493	Msh4	3
ENSMUSG00000042743	Sgtb	13
ENSMUSG00000038535	Zfp280d	9
ENSMUSG00000096188	Cmtm4	8
ENSMUSG00000032394	Igdcc3	9
ENSMUSG00000045441	Gprin3	6
ENSMUSG00000074195	Clca4b	3
ENSMUSG00000087230	Mroh3	1
ENSMUSG00000025386	Pde6g	11
ENSMUSG00000027387	Zc3h8	2
ENSMUSG00000004988	Fxyd4	6
ENSMUSG00000030352	Tspan9	6
ENSMUSG00000095546	Gm10230	X
ENSMUSG00000035770	Dync1li2	8
ENSMUSG00000053559	Smagp	15
ENSMUSG00000042851	Zc3h6	2
ENSMUSG00000000385	Tmprss2	16
ENSMUSG00000049511	Htr1b	9
ENSMUSG00000004558	Ndrg2	14
ENSMUSG00000033633	Clec18a	8
ENSMUSG00000019732	Calr3	8
ENSMUSG00000024738	Pga5	19
ENSMUSG00000014782	Plekhg4	8
ENSMUSG00000078958	Atp6ap1l	13
ENSMUSG00000029720	Gm20605	5
ENSMUSG00000016758	Bik	15
ENSMUSG00000041698	Slco1a1	6
ENSMUSG00000079165	Sap25	5
ENSMUSG00000029026	Trp73	4
ENSMUSG00000079051	Gm14025	2
ENSMUSG00000000085	Scmh1	4
ENSMUSG00000022558	Mroh1	15
ENSMUSG00000049517	Rps23	13
ENSMUSG00000018604	Tbx3	5
ENSMUSG00000021711	Trappc13	13
ENSMUSG00000093445	Lrch4	5
ENSMUSG00000051648	Kctd19	8
ENSMUSG00000022867	Usp25	16
ENSMUSG00000030134	Rasgef1a	6
ENSMUSG00000024158	Hagh	17
ENSMUSG00000021612	Slc6a18	13
ENSMUSG00000033047	Eif3l	15
ENSMUSG00000029554	Mad1l1	5
ENSMUSG00000023047	Amhr2	15
ENSMUSG00000035270	Impg2	16
ENSMUSG00000060212	Pcnx2	8
ENSMUSG00000041992	Rapgef5	12
ENSMUSG00000021619	Atg10	13
ENSMUSG00000015377	Dennd6b	15
ENSMUSG00000025427	Rnf165	18
ENSMUSG00000027573	Gid8	2
ENSMUSG00000068547	Clca4a	3
ENSMUSG00000078440	Dohh	10
ENSMUSG00000029687	Ezh2	6
ENSMUSG00000030353	Tead4	6
ENSMUSG00000035373	Ccl7	11
ENSMUSG00000042751	Nmnat2	1
ENSMUSG00000079263	Gm6614	6
ENSMUSG00000113262	Gm48551	10
ENSMUSG00000039670	Oxld1	11
ENSMUSG00000114004	Gm48552	10
ENSMUSG00000027620	Rbm39	2
ENSMUSG00000022433	Csnk1e	15
ENSMUSG00000028255	Clca1	3
ENSMUSG00000026123	Plekhb2	1
ENSMUSG00000057176	Ccdc189	7
ENSMUSG00000032303	Chrna3	9
ENSMUSG00000030523	Trpm1	7
ENSMUSG00000027075	Slc43a1	2
ENSMUSG00000027394	Ttl	2
ENSMUSG00000038312	Edem2	2
ENSMUSG00000030815	Phkg2	7
ENSMUSG00000033152	Podxl2	6
ENSMUSG00000025889	Snca	6
ENSMUSG00000017999	Ddx27	2
ENSMUSG00000071234	Syndig1l	12
ENSMUSG00000035383	Pmch	10
ENSMUSG00000048755	Mcat	15
ENSMUSG00000035365	Parpbp	10
ENSMUSG00000045559	Olfr827	10
ENSMUSG00000000411	Tssk3	4
ENSMUSG00000027611	Procr	2
ENSMUSG00000035200	Chrnb4	9
ENSMUSG00000027201	Myef2	2
ENSMUSG00000041736	Tspo	15
ENSMUSG00000034161	Scx	15
ENSMUSG00000046317	BC107364	3
ENSMUSG00000022557	Bop1	15
ENSMUSG00000038068	Rnf144b	13
ENSMUSG00000023393	Slc17a9	2
ENSMUSG00000075100	Olfr1223	2
ENSMUSG00000074649	BC029722	2
ENSMUSG00000036707	Cab39	1
ENSMUSG00000048015	Neurod4	10
ENSMUSG00000091537	Tma7	9
ENSMUSG00000027395	Polr1b	2
ENSMUSG00000027612	Mmp24	2
ENSMUSG00000027332	Ivd	2
ENSMUSG00000020676	Ccl11	11
ENSMUSG00000025645	Ccdc51	9
ENSMUSG00000076432	Ywhaq	12
ENSMUSG00000075099	Olfr1224-ps1	2
ENSMUSG00000022053	Ebf2	14
ENSMUSG00000046589	Lrrc8e	8
ENSMUSG00000054003	Tdrd9	12
ENSMUSG00000045493	Bhlhe23	2
ENSMUSG00000008461	Fut1	7
ENSMUSG00000030324	Rho	6
ENSMUSG00000021466	Ptch1	13
ENSMUSG00000028093	Acp6	3
ENSMUSG00000038403	Hfe2	3
ENSMUSG00000033624	Pdpr	8
ENSMUSG00000021242	Npc2	12
ENSMUSG00000051515	Fam181b	7
ENSMUSG00000029288	Ambn	5
ENSMUSG00000044626	Liph	16
ENSMUSG00000035352	Ccl12	11
ENSMUSG00000001521	Tulp3	6
ENSMUSG00000031853	Map3k21	8
ENSMUSG00000079262	Slco1a6	6
ENSMUSG00000049957	Ccdc137	11
ENSMUSG00000033998	Kcnk1	8
ENSMUSG00000036403	Cep135	5
ENSMUSG00000063870	Chd4	6
ENSMUSG00000033644	Piwil2	14
ENSMUSG00000059625	Sohlh1	2
ENSMUSG00000054641	Mmrn1	6
ENSMUSG00000074647	Fam83c	2
ENSMUSG00000037938	Chchd5	2
ENSMUSG00000019997	Ctgf	10
ENSMUSG00000079019	Insl3	8
ENSMUSG00000027613	Eif6	2
ENSMUSG00000048668	Rhno1	6
ENSMUSG00000057060	Slc35f3	8
ENSMUSG00000031805	Jak3	8
ENSMUSG00000091402	Rd3l	12
ENSMUSG00000020832	Eral1	11
ENSMUSG00000052488	Cherp	8
ENSMUSG00000074994	Qser1	2
ENSMUSG00000038860	Garnl3	2
ENSMUSG00000057594	Arl16	11
ENSMUSG00000064158	Izumo1	7
ENSMUSG00000021241	Isca2	12
ENSMUSG00000036960	Clca2	3
ENSMUSG00000044562	Rasip1	7
ENSMUSG00000051671	Coa6	8
ENSMUSG00000090290	Tarbp1	8
ENSMUSG00000051007	Gatd1	7
ENSMUSG00000000724	Cryba1	11
ENSMUSG00000078795	Ceacam15	7
ENSMUSG00000007880	Arid1a	4
ENSMUSG00000037857	Nufip2	11
ENSMUSG00000029286	Enam	5
ENSMUSG00000034480	Diaph2	X
ENSMUSG00000023048	Prr13	15
ENSMUSG00000052794	1700030K09Rik	8
ENSMUSG00000002870	Mcm2	6
ENSMUSG00000033871	Ppargc1b	18
ENSMUSG00000028016	Ints12	3
ENSMUSG00000033065	Pfkm	15
ENSMUSG00000052819	Best2	8
ENSMUSG00000019428	Fkbp8	8
ENSMUSG00000019302	Atp6v0a1	11
ENSMUSG00000027397	Slc20a1	2
ENSMUSG00000042042	Csgalnact2	6
ENSMUSG00000078554	Fam229a	4
ENSMUSG00000028018	Gstcd	3
ENSMUSG00000022667	Cd200r1	16
ENSMUSG00000039501	Znfx1	2
ENSMUSG00000035183	Slc24a5	2
ENSMUSG00000021213	Akr1c13	13
ENSMUSG00000038848	Ythdf1	2
ENSMUSG00000061533	Cep128	12
ENSMUSG00000009185	Ccl8	11
ENSMUSG00000003352	Cacnb3	15
ENSMUSG00000026961	Lrrc26	2
ENSMUSG00000003031	Cdkn1b	6
ENSMUSG00000033075	Senp1	15
ENSMUSG00000043289	Mei4	9
ENSMUSG00000056091	St3gal5	6
ENSMUSG00000023122	Sult1c2	17
ENSMUSG00000040007	Bahd1	2
ENSMUSG00000090137	Uba52	8
ENSMUSG00000036561	Ppp6r2	15
ENSMUSG00000055891	Ubl4b	3
ENSMUSG00000053646	Plxnb1	9
ENSMUSG00000042258	Isl1	13
ENSMUSG00000026223	Itm2c	1
ENSMUSG00000041681	Iapp	6
ENSMUSG00000026452	Syt2	1
ENSMUSG00000063975	Slco1a5	6
ENSMUSG00000027961	Lrrc39	3
ENSMUSG00000026479	Lamc2	1
ENSMUSG00000039578	Ccser1	6
ENSMUSG00000025428	Atp5a1	18
ENSMUSG00000012429	Mplkip	13
ENSMUSG00000019539	Rcn3	7
ENSMUSG00000049608	Gpr55	1
ENSMUSG00000038286	Bphl	13
ENSMUSG00000026224	4933407L21Rik	1
ENSMUSG00000033439	Trmt13	3
ENSMUSG00000030110	Ret	6
ENSMUSG00000021712	Trim23	13
ENSMUSG00000073557	Ppp1r12b	1
ENSMUSG00000055553	Kxd1	8
ENSMUSG00000067149	Jchain	5
ENSMUSG00000038393	Txnip	3
ENSMUSG00000038840	Birc7	2
ENSMUSG00000055137	Sugct	13
ENSMUSG00000022474	Pmm1	15
ENSMUSG00000020702	Ccl1	11
ENSMUSG00000001518	Itfg2	6
ENSMUSG00000042279	H1foo	6
ENSMUSG00000034560	Washc4	10
ENSMUSG00000028447	Dctn3	4
ENSMUSG00000036377	C530008M17Rik	5
ENSMUSG00000003420	Fcgrt	7
ENSMUSG00000025579	Gaa	11
ENSMUSG00000021470	Ercc6l2	13
ENSMUSG00000027574	Nkain4	2
ENSMUSG00000090698	Apold1	6
ENSMUSG00000021379	Id4	13
ENSMUSG00000036078	Sigmar1	4
ENSMUSG00000027959	Sass6	3
ENSMUSG00000030204	Ddx47	6
ENSMUSG00000046709	Mapk10	5
ENSMUSG00000037621	Atoh8	6
ENSMUSG00000108011	Gm44596	6
ENSMUSG00000079304	Tex52	6
ENSMUSG00000094739	Gm20806	Y
ENSMUSG00000020701	Tmem132e	11
ENSMUSG00000005882	Uqcc1	2
ENSMUSG00000034247	Plekhm1	11
ENSMUSG00000001520	Nrip2	6
ENSMUSG00000056370	Sftpb	6
ENSMUSG00000023943	Sult1c1	17
ENSMUSG00000047945	Marcksl1	4
ENSMUSG00000054484	Tmem62	2
ENSMUSG00000101918	Olfr1225	2
ENSMUSG00000051495	Irf2bp2	8
ENSMUSG00000020897	Aurkb	11
ENSMUSG00000036661	Dennd3	15
ENSMUSG00000073889	Il11ra1	4
ENSMUSG00000052676	Zmat1	X
ENSMUSG00000034833	Tespa1	10
ENSMUSG00000016757	Ttll12	15
ENSMUSG00000034255	Arhgap27	11
ENSMUSG00000017670	Elmo2	2
ENSMUSG00000026478	Lamc1	1
ENSMUSG00000041654	Slc39a11	11
ENSMUSG00000030560	Ctsc	7
ENSMUSG00000074895	Eif4e1b	13
ENSMUSG00000027968	Larp7	3
ENSMUSG00000060240	Cend1	7
ENSMUSG00000046733	Gprc5a	6
ENSMUSG00000001517	Foxm1	6
ENSMUSG00000093904	Tomm20	8
ENSMUSG00000028609	Magoh	4
ENSMUSG00000026825	Dnm1	2
ENSMUSG00000030205	Gprc5d	6
ENSMUSG00000075097	Olfr1226	2
ENSMUSG00000027171	Prrg4	2
ENSMUSG00000030243	Recql	6
ENSMUSG00000062082	Cd200r4	16
ENSMUSG00000048327	Ckap2l	2
ENSMUSG00000000776	Polr3d	14
ENSMUSG00000021620	Acot12	13
ENSMUSG00000038648	Creb3l2	6
ENSMUSG00000058672	Tubb2a	13
ENSMUSG00000033931	Rbm34	8
ENSMUSG00000029752	Asns	6
ENSMUSG00000036158	Prickle1	15
ENSMUSG00000032307	Ube2q2	9
ENSMUSG00000003316	Glg1	8
ENSMUSG00000039943	Plcb4	2
ENSMUSG00000030206	Gsg1	6
ENSMUSG00000038777	Sema6c	3
ENSMUSG00000000530	Acvrl1	15
ENSMUSG00000035131	Brinp3	1
ENSMUSG00000038388	Mpp6	6
ENSMUSG00000038256	Bcl9	3
ENSMUSG00000022246	Rai14	15
ENSMUSG00000027615	Hps3	3
ENSMUSG00000031766	Slc12a3	8
ENSMUSG00000010755	Cars	7
ENSMUSG00000027399	Il1a	2
ENSMUSG00000003992	Ssbp2	13
ENSMUSG00000047904	Sstr2	11
ENSMUSG00000021848	Otx2	14
ENSMUSG00000005251	Ripk4	16
ENSMUSG00000041629	Fam104a	11
ENSMUSG00000018661	Cog1	11
ENSMUSG00000030123	Plxnd1	6
ENSMUSG00000054716	Zfp771	7
ENSMUSG00000041671	Pyroxd1	6
ENSMUSG00000036114	Rpp25l	4
ENSMUSG00000042770	Hebp1	6
ENSMUSG00000027398	Il1b	2
ENSMUSG00000036073	Galt	4
ENSMUSG00000070601	Vmn2r84	10
ENSMUSG00000030207	Fam234b	6
ENSMUSG00000032349	Elovl5	9
ENSMUSG00000032582	Rbm6	9
ENSMUSG00000074704	Rad21l	2
ENSMUSG00000042462	Dctpp1	7
ENSMUSG00000029557	Mrm2	5
ENSMUSG00000036639	Nudt1	5
ENSMUSG00000034165	Ccnd3	17
ENSMUSG00000043727	F830045P16Rik	2
ENSMUSG00000035351	Nup37	10
ENSMUSG00000066042	Med18	4
ENSMUSG00000085861	1700016G14Rik	13
ENSMUSG00000022580	Rhpn1	15
ENSMUSG00000038641	Akr1d1	6
ENSMUSG00000030245	Golt1b	6
ENSMUSG00000038259	Gdf5	2
ENSMUSG00000078972	Gm15557	2
ENSMUSG00000027270	Lamp5	2
ENSMUSG00000032251	Irak1bp1	9
ENSMUSG00000071112	Spx	6
ENSMUSG00000024172	St6gal2	17
ENSMUSG00000028893	Sesn2	4
ENSMUSG00000021725	Parp8	13
ENSMUSG00000038975	Rabggtb	3
ENSMUSG00000066224	Arid3c	4
ENSMUSG00000028256	Odf2l	3
ENSMUSG00000038010	Ccdc138	10
ENSMUSG00000030075	Cntn3	6
ENSMUSG00000022863	Btg3	16
ENSMUSG00000017969	Ptgis	2
ENSMUSG00000071551	Akr1c19	13
ENSMUSG00000018263	Tbx5	5
ENSMUSG00000003360	Ddx23	15
ENSMUSG00000030244	Gys2	6
ENSMUSG00000079432	Gm15023	X
ENSMUSG00000030126	Tmcc1	6
ENSMUSG00000073888	Ccl27a	4
ENSMUSG00000003617	Cp	3
ENSMUSG00000014603	Alx3	3
ENSMUSG00000029571	Tmem106b	6
ENSMUSG00000030559	Rab38	7
ENSMUSG00000002871	Tpra1	6
ENSMUSG00000003469	Phyhip	14
ENSMUSG00000052456	Asna1	8
ENSMUSG00000030138	Bms1	6
ENSMUSG00000030246	Ldhb	6
ENSMUSG00000050556	Kcnb1	2
ENSMUSG00000023333	Gcm1	9
ENSMUSG00000025041	Nt5c2	19
ENSMUSG00000044364	Tmem74b	2
ENSMUSG00000022865	Cxadr	16
ENSMUSG00000092048	Vmn2r85	10
ENSMUSG00000015001	Oc90	15
ENSMUSG00000045176	Borcs6	11
ENSMUSG00000028104	Polr3gl	3
ENSMUSG00000045136	Tubb2b	13
ENSMUSG00000040812	Agbl2	2
ENSMUSG00000014039	Prdm15	16
ENSMUSG00000038116	Phf20	2
ENSMUSG00000041836	Ptpre	7
ENSMUSG00000054428	Atpif1	4
ENSMUSG00000034336	Ina	19
ENSMUSG00000079015	Serpina1c	12
ENSMUSG00000029821	Gsdme	6
ENSMUSG00000026226	Spata3	1
ENSMUSG00000087610	Gm16253	3
ENSMUSG00000040383	Aqr	2
ENSMUSG00000021699	Pde4d	13
ENSMUSG00000049091	Sephs2	7
ENSMUSG00000022750	Klhl22	16
ENSMUSG00000028394	Pole3	4
ENSMUSG00000092162	Vmn2r86	10
ENSMUSG00000026387	Sctr	1
ENSMUSG00000099486	Olfr1228	2
ENSMUSG00000030145	Zfp248	6
ENSMUSG00000109061	Gm49320	8
ENSMUSG00000061633	1700029P11Rik	15
ENSMUSG00000089736	Tgfbr3l	8
ENSMUSG00000032869	Psmf1	2
ENSMUSG00000018239	Zcchc10	11
ENSMUSG00000091511	Vmn2r87	10
ENSMUSG00000056305	Usp39	6
ENSMUSG00000050896	Rtn4rl2	2
ENSMUSG00000027575	Arfgap1	2
ENSMUSG00000002948	Map2k7	8
ENSMUSG00000054855	Rnd1	15
ENSMUSG00000074646	6430550D23Rik	2
ENSMUSG00000042460	C1galt1	6
ENSMUSG00000039349	C130074G19Rik	1
ENSMUSG00000058046	4933430I17Rik	4
ENSMUSG00000021175	Cdca7l	12
ENSMUSG00000012609	Ttll5	12
ENSMUSG00000047104	Pbp2	6
ENSMUSG00000109392	Gm5737	7
ENSMUSG00000074916	Chst14	2
ENSMUSG00000034462	Pkd2	5
ENSMUSG00000032637	Atxn2l	7
ENSMUSG00000058706	0610030E20Rik	6
ENSMUSG00000029348	Asphd2	5
ENSMUSG00000004951	Hspb1	5
ENSMUSG00000075095	Olfr1229	2
ENSMUSG00000072623	Zfp9	6
ENSMUSG00000003227	Edar	10
ENSMUSG00000075094	Olfr1230	2
ENSMUSG00000030208	Emp1	6
ENSMUSG00000038241	Cep250	2
ENSMUSG00000075093	Olfr1231	2
ENSMUSG00000018581	Dnah11	12
ENSMUSG00000021211	Akr1c12	13
ENSMUSG00000049097	Ankrd34a	3
ENSMUSG00000022899	Slc15a2	16
ENSMUSG00000021565	Slc6a19	13
ENSMUSG00000095867	Gm20917	Y
ENSMUSG00000038085	Cnbd2	2
ENSMUSG00000075092	Olfr1232	2
ENSMUSG00000043102	Qrfp	2
ENSMUSG00000052616	Terb1	8
ENSMUSG00000055850	Rnf181	6
ENSMUSG00000045691	Thtpa	14
ENSMUSG00000047591	Mafa	15
ENSMUSG00000067336	Bmpr2	1
ENSMUSG00000040721	Zfhx2	14
ENSMUSG00000049288	Lix1l	3
ENSMUSG00000030816	Rnf40	7
ENSMUSG00000095172	Gm20822	Y
ENSMUSG00000039913	Pak7	2
ENSMUSG00000035064	Eef2k	7
ENSMUSG00000002963	Pnkp	7
ENSMUSG00000021728	Emb	13
ENSMUSG00000040701	Ap1g2	14
ENSMUSG00000047260	Emc6	11
ENSMUSG00000075510	Fam187a	11
ENSMUSG00000020930	Ccdc103	11
ENSMUSG00000025373	Rnf41	10
ENSMUSG00000055912	Tmem150a	6
ENSMUSG00000021621	Zcchc9	13
ENSMUSG00000033033	Calhm2	19
ENSMUSG00000075091	Olfr1233	2
ENSMUSG00000030532	Hddc3	7
ENSMUSG00000071451	Psmg4	13
ENSMUSG00000051392	Olfr1402	3
ENSMUSG00000033122	Hsd17b3	13
ENSMUSG00000032011	Thy1	9
ENSMUSG00000068794	Col28a1	6
ENSMUSG00000062908	Acadm	3
ENSMUSG00000007827	Ankrd26	6
ENSMUSG00000030209	Grin2b	6
ENSMUSG00000030077	Chl1	6
ENSMUSG00000090176	Cd200r2	16
ENSMUSG00000024240	Epc1	18
ENSMUSG00000038886	Man2a2	7
ENSMUSG00000001123	Lgals9	11
ENSMUSG00000000532	Acvr1b	15
ENSMUSG00000074771	Ankef1	2
ENSMUSG00000027074	Slc43a3	2
ENSMUSG00000050954	Zfp169	13
ENSMUSG00000026018	Ica1l	1
ENSMUSG00000075090	Olfr1234	2
ENSMUSG00000017929	B4galt5	2
ENSMUSG00000021622	Ckmt2	13
ENSMUSG00000073002	Vamp5	6
ENSMUSG00000033020	Polr2f	15
ENSMUSG00000003354	Ccdc65	15
ENSMUSG00000021730	Hcn1	13
ENSMUSG00000041040	Fam117b	1
ENSMUSG00000050732	Vamp8	6
ENSMUSG00000030357	Fkbp4	6
ENSMUSG00000033029	1700088E04Rik	15
ENSMUSG00000094973	Gm8994	6
ENSMUSG00000029033	Acap3	4
ENSMUSG00000056900	Usp13	3
ENSMUSG00000054320	Lrrc36	8
ENSMUSG00000025875	Tspan17	13
ENSMUSG00000024236	Svil	18
ENSMUSG00000055670	Zzef1	11
ENSMUSG00000003355	Fkbp11	15
ENSMUSG00000031642	Sh3rf1	8
ENSMUSG00000035011	Zbtb7a	10
ENSMUSG00000016256	Ctsz	2
ENSMUSG00000039195	1110008P14Rik	2
ENSMUSG00000000531	Grasp	15
ENSMUSG00000016253	Nelfcd	2
ENSMUSG00000021708	Rasgrf2	13
ENSMUSG00000039205	Ciz1	2
ENSMUSG00000071424	Grid2	6
ENSMUSG00000042708	Shcbp1l	1
ENSMUSG00000079679	Vwde	6
ENSMUSG00000030359	Pzp	6
ENSMUSG00000026841	Fibcd1	2
ENSMUSG00000012017	Scarf2	16
ENSMUSG00000051853	Arf3	15
ENSMUSG00000026620	Mark1	1
ENSMUSG00000033596	Rfwd3	8
ENSMUSG00000027273	Snap25	2
ENSMUSG00000033039	Micall1	15
ENSMUSG00000048175	Asb8	15
ENSMUSG00000045291	E330021D16Rik	6
ENSMUSG00000022141	Nipbl	15
ENSMUSG00000039983	Ccdc32	2
ENSMUSG00000028800	Hdac1	4
ENSMUSG00000022996	Wnt10b	15
ENSMUSG00000032852	Rspo4	2
ENSMUSG00000053181	A830005F24Rik	13
ENSMUSG00000028089	Chd1l	3
ENSMUSG00000027073	Prg2	2
ENSMUSG00000021731	Mrps30	13
ENSMUSG00000040969	Arhgef38	3
ENSMUSG00000051391	Ywhag	5
ENSMUSG00000027460	Angpt4	2
ENSMUSG00000028360	Slc44a5	3
ENSMUSG00000032010	Usp2	9
ENSMUSG00000047182	Irs3	5
ENSMUSG00000020895	Tmem107	11
ENSMUSG00000093927	Gm20918	Y
ENSMUSG00000029875	Ccdc184	15
ENSMUSG00000039463	Slc9a8	2
ENSMUSG00000023572	Ccndbp1	2
ENSMUSG00000016255	Tubb1	2
ENSMUSG00000094746	Gm20916	Y
ENSMUSG00000091055	Siglec15	18
ENSMUSG00000051278	Zgrf1	3
ENSMUSG00000019731	Slc35e1	8
ENSMUSG00000075427	Olfr288	15
ENSMUSG00000053460	Ggcx	6
ENSMUSG00000027324	Rpusd2	2
ENSMUSG00000059173	Pde1a	2
ENSMUSG00000100622	Gm20379	13
ENSMUSG00000035367	Rmi1	13
ENSMUSG00000090129	Olfr287	15
ENSMUSG00000045975	C2cd2	16
ENSMUSG00000044216	Kcnj4	15
ENSMUSG00000014850	Msh3	13
ENSMUSG00000030213	Atf7ip	6
ENSMUSG00000103906	Tigd5	15
ENSMUSG00000022571	Pycrl	15
ENSMUSG00000108748	Gm44579	15
ENSMUSG00000032504	Pdcd6ip	9
ENSMUSG00000026840	Lamc3	2
ENSMUSG00000021546	Hnrnpk	13
ENSMUSG00000039428	Tmem135	7
ENSMUSG00000008855	Hdac5	11
ENSMUSG00000002020	Ltbp2	12
ENSMUSG00000054889	Dsp	13
ENSMUSG00000021253	Tgfb3	12
ENSMUSG00000046962	Zbtb21	16
ENSMUSG00000029560	Snx8	5
ENSMUSG00000048078	Tenm4	7
ENSMUSG00000022471	Xrcc6	15
ENSMUSG00000016252	Atp5e	2
ENSMUSG00000025580	Eif4a3	11
ENSMUSG00000091504	Vmn2r118	17
ENSMUSG00000021707	Dhfr	13
ENSMUSG00000012519	Mlkl	8
ENSMUSG00000014846	Tppp3	8
ENSMUSG00000024104	Washc2	6
ENSMUSG00000003429	Rps11	7
ENSMUSG00000059336	Slc14a1	18
ENSMUSG00000022449	Adamts20	15
ENSMUSG00000025104	Hdgfl3	7
ENSMUSG00000027624	Epb41l1	2
ENSMUSG00000031409	Tceal6	X
ENSMUSG00000067274	Rplp0	5
ENSMUSG00000038623	Tm6sf1	7
ENSMUSG00000026227	2810459M11Rik	1
ENSMUSG00000057835	Zfp119a	17
ENSMUSG00000004934	Pias4	10
ENSMUSG00000023034	Nr4a1	15
ENSMUSG00000038042	Ptpdc1	13
ENSMUSG00000022472	Desi1	15
ENSMUSG00000061751	Kalrn	16
ENSMUSG00000005204	Senp3	11
ENSMUSG00000045248	Med26	8
ENSMUSG00000053128	Rnf26	9
ENSMUSG00000079592	C1qtnf5	9
ENSMUSG00000025650	Col7a1	9
ENSMUSG00000021700	Rab3c	13
ENSMUSG00000046897	Zfp740	15
ENSMUSG00000029569	Tmem168	6
ENSMUSG00000033579	Fa2h	8
ENSMUSG00000001366	Fbxo9	9
ENSMUSG00000041203	Trir	8
ENSMUSG00000030247	Kcnj8	6
ENSMUSG00000032311	Nrg4	9
ENSMUSG00000073043	Atoh1	6
ENSMUSG00000003198	Zfp959	17
ENSMUSG00000021714	Cenpk	13
ENSMUSG00000034739	Mfrp	9
ENSMUSG00000014601	Strip1	3
ENSMUSG00000021381	Barx1	13
ENSMUSG00000021210	Akr1c6	13
ENSMUSG00000047228	A2ml1	6
ENSMUSG00000018995	Nars2	7
ENSMUSG00000062101	Zfp119b	17
ENSMUSG00000001098	Kctd10	5
ENSMUSG00000010830	Kdelr3	15
ENSMUSG00000032298	Neil1	9
ENSMUSG00000035258	Abi3bp	16
ENSMUSG00000023044	Csad	15
ENSMUSG00000055065	Ddx17	15
ENSMUSG00000032309	Fbxo22	9
ENSMUSG00000067360	Pramel3	X
ENSMUSG00000028197	Col24a1	3
ENSMUSG00000021713	Ppwd1	13
ENSMUSG00000035762	Tmem161b	13
ENSMUSG00000046006	Gapt	13
ENSMUSG00000061013	Mkx	18
ENSMUSG00000066952	Myo1h	5
ENSMUSG00000020698	Cct6b	11
ENSMUSG00000111517	Olfr1238	2
ENSMUSG00000038279	Nop2	6
