ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
159	Condensin I-PARP-1-XRCC1 complex	Human	None	None	O95347;P09874;P18887;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;142;7515;23397;9918;64151;10051	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	Structural maintenance of chromosomes protein 2 ;Poly [ADP-ribose] polymerase 1 ;DNA repair protein XRCC1 ;Condensin complex subunit 2 ;Condensin complex subunit 1 ;Condensin complex subunit 3 ;Structural maintenance of chromosomes protein 4	None	CAPE SMC2L1;ADPRT PPOL;;BRRN BRRN1 CAPH KIAA0074;CAPD2 CNAP1 KIAA0159;CAPG NYMEL3;CAPC SMC4L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4	The association between PARP-1 and XRCC1 was enhanced in response to DNA damage.	None	16543152
160	Condensin II	Human	None	None	O95347;P42695;Q6IBW4;Q86XI2;Q9NTJ3	10592;23310;29781;54892;10051	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0030261;GO:0051276;GO:0005634	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	10.03.01.01;10.03.04.03;42.10.03;70.10	mitotic cell cycle;chromosome condensation;organization of chromosome structure;nucleus	Structural maintenance of chromosomes protein 2 ;Condensin-2 complex subunit D3 ;Condensin-2 complex subunit H2 ;Condensin-2 complex subunit G2 ;Structural maintenance of chromosomes protein 4	None	CAPE SMC2L1;CAPD3 KIAA0056;CAPH2;LUZP5;CAPC SMC4L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4	None	None	14532007
161	SWAP complex	Mouse	None	None	P09405;P11103;Q61937;Q6A028	17975;11545;18148;20947	MI:0004- affinity chromatography technologies	GO:0006312;GO:0019724;GO:0005634;GO:9999997	mitotic recombination;B cell mediated immunity;nucleus;no GO term corresponding to 73.03.07.02.01.01	10.01.05.03.03;36.25.16.03.01;70.10;73.03.07.02.01.01	somatic / mitotic recombination;humoral response (B-cells);nucleus;B-cell	Nucleolin ;Poly [ADP-ribose] polymerase 1 ;Nucleophosmin ;Switch-associated protein 70	None	Nuc;Adprp Adprt Adprt1;;Kiaa0640	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Ncl;Parp1;Npm1;Swap70	SWAP complex has recombination activity and is specific for switching B-cells and prefers S-region substrates. S regions, several kilobase pairs in length, contain short, G-rich repetitive sequence elements, often arranged in tandem arrays (PMID:9642267).	None	9642267
162	Conserved oligomeric Golgi (COG) complex	Human	None	None	P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7	91949;22796;9382;83548;84342;25839;10466;57511	MI:0040- electron microscopy; MI:0047- far western blotting; MI:0069- mass spectrometry studies of complexes	GO:0006486;GO:0042125;GO:0006891;GO:0007030;GO:0005794	protein glycosylation;protein galactosylation;intra-Golgi vesicle-mediated transport;Golgi organization;Golgi apparatus	14.07.02;20.09.07.05;42.08;70.08	modification with sugar residues (e.g. glycosylation, deglycosylation);intra Golgi transport;Golgi;Golgi	Conserved oligomeric Golgi complex subunit 7 ;Conserved oligomeric Golgi complex subunit 2 ;Conserved oligomeric Golgi complex subunit 1 ;Conserved oligomeric Golgi complex subunit 3 ;Conserved oligomeric Golgi complex subunit 8 ;Conserved oligomeric Golgi complex subunit 4 ;Conserved oligomeric Golgi complex subunit 5 ;Conserved oligomeric Golgi complex subunit 6	Deficiencies in COG1, COG7, COG8 cause a novel group of Cogenital Disorders of Glycosylation II (PMID:17904886).	;LDLC;KIAA1381 LDLB;SEC34;;;GOLTC1 GTC90;KIAA1134	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6	None	None	11980916
163	Cohesin-SA2 complex	Human	None	None	O60216;Q14683;Q8N3U4;Q9UQE7	5885;8243;10735;9126	MI:0006- anti bait coimmunoprecipitation; MI:0004- affinity chromatography technologies	GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	10.03.01.01.11;10.03.04.05;16.03.01;42.10.03;70.10.03	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	Double-strand-break repair protein rad21 homolog ;Structural maintenance of chromosomes protein 1A ;Cohesin subunit SA-2 ;Structural maintenance of chromosomes protein 3	None	HR21 KIAA0078 NXP1;DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;SA2;BAM BMH CSPG6 SMC3L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAD21;SMC1A;STAG2;SMC3	None	None	10931856
164	Cohesin-SA1 complex	Human	None	None	O60216;Q14683;Q8WVM7;Q9UQE7	5885;8243;10274;9126	MI:0006- anti bait coimmunoprecipitation; MI:0004- affinity chromatography technologies	GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	10.03.01.01.11;10.03.04.05;16.03.01;42.10.03;70.10.03	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	Double-strand-break repair protein rad21 homolog ;Structural maintenance of chromosomes protein 1A ;Cohesin subunit SA-1 ;Structural maintenance of chromosomes protein 3	None	HR21 KIAA0078 NXP1;DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;SA1;BAM BMH CSPG6 SMC3L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAD21;SMC1A;STAG1;SMC3	In HeLa cell extracts, the ratio between the hSA1-containing complex (h-cohesin SA1) and the hSA2-containing complex (h-cohesin SA2) is about 1:3.	None	10931856
165	Cohesin-SA1 complex	Human	None	None	O60216;Q14683;Q8WVM7;Q9UQE7	5885;8243;10274;9126	MI:0004- affinity chromatography technologies	GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	10.03.01.01.11;10.03.04.05;16.03.01;42.10.03;70.10.03	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	Double-strand-break repair protein rad21 homolog ;Structural maintenance of chromosomes protein 1A ;Cohesin subunit SA-1 ;Structural maintenance of chromosomes protein 3	None	HR21 KIAA0078 NXP1;DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;SA1;BAM BMH CSPG6 SMC3L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAD21;SMC1A;STAG1;SMC3	The cohesin complex binds directly to double-stranded DNA and induces the formation of large protein-DNA aggregates.	None	11250156
166	Cohesin-SA2 complex	Human	None	None	O60216;Q14683;Q8N3U4;Q9UQE7	5885;8243;10735;9126	MI:0004- affinity chromatography technologies	GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome segregation;DNA binding;chromosome organization;chromosome	10.03.01.01.11;10.03.04.05;16.03.01;42.10.03;70.10.03	M phase;chromosome segregation/division;DNA binding;organization of chromosome structure;chromosome	Double-strand-break repair protein rad21 homolog ;Structural maintenance of chromosomes protein 1A ;Cohesin subunit SA-2 ;Structural maintenance of chromosomes protein 3	None	HR21 KIAA0078 NXP1;DXS423E KIAA0178 SB1.8 SMC1 SMC1L1;SA2;BAM BMH CSPG6 SMC3L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RAD21;SMC1A;STAG2;SMC3	The cohesin complex binds directly to double-stranded DNA and induces the formation of large protein-DNA aggregates.	None	11250156
167	Condensin I complex	Human	canonical condensin complex	None	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;23397;9918;64151;10051	MI:0004- affinity chromatography technologies	GO:0000278;GO:0030261;GO:0051276;GO:0005634	mitotic cell cycle;chromosome condensation;chromosome organization;nucleus	10.03.01.01;10.03.04.03;42.10.03;70.10	mitotic cell cycle;chromosome condensation;organization of chromosome structure;nucleus	Structural maintenance of chromosomes protein 2 ;Condensin complex subunit 2 ;Condensin complex subunit 1 ;Condensin complex subunit 3 ;Structural maintenance of chromosomes protein 4	None	CAPE SMC2L1;BRRN BRRN1 CAPH KIAA0074;CAPD2 CNAP1 KIAA0159;CAPG NYMEL3;CAPC SMC4L1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	SMC2;NCAPH;NCAPD2;NCAPG;SMC4	None	None	11250156
168	Protein-sorting complex (Stam2, Hgs, Eps15)	Mouse	None	None	O88811;P42567;Q99LI8	56324;13858;15239	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	14.04;20.01.10	protein targeting, sorting and translocation;protein transport	Signal transducing adapter molecule 2 ;Epidermal growth factor receptor substrate 15 ;Hepatocyte growth factor-regulated tyrosine kinase substrate	None	Hbp;;Hrs	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Stam2;Eps15;Hgs	Hrs, Eps15, and STAM proteins function in a multivalent complex that sorts ubiquitinated proteins into the multivesicular body pathway.	None	12551915
169	Protein-sorting complex (Stam1, Hgs, Eps15)	Mammalia	None	None	P42567;Q92783;Q99LI8	13858;8027;15239	MI:0019- coimmunoprecipitation	GO:0006886;GO:0006605;GO:0015031	intracellular protein transport;protein targeting;protein transport	14.04;20.01.10	protein targeting, sorting and translocation;protein transport	Epidermal growth factor receptor substrate 15 ;Signal transducing adapter molecule 1 ;Hepatocyte growth factor-regulated tyrosine kinase substrate	None	;STAM1;Hrs	Mus musculus (Mouse);Homo sapiens (Human);Mus musculus (Mouse)	Eps15;STAM;Hgs	Hrs, Eps15, and STAM proteins function in a multivalent complex that sorts ubiquitinated proteins into the multivesicular body pathway.	None	12551915
170	Ric-8A G(i) alpha-1 subunit complex	Rat	None	None	P10824;Q80ZG1	25686;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein G;Synembryn-A	None	Gnai-1;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gnai1;Ric8a	None	None	12509430
171	Ric-8A G(i) alpha-2 subunit complex	Rat	None	None	P04897;Q80ZG1	81664;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein G;Synembryn-A	None	Gnai-2;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gnai2;Ric8a	None	None	12509430
172	Ric-8A G(o) alpha-1 subunit complex	Rat	None	None	P59215;Q80ZG1	50664;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein G;Synembryn-A	None	Gna0 Gnao;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gnao1;Ric8a	None	None	12509430
173	MRN complex (MRE11-RAD50-NBN complex)	Human	RAD50-MRE11-p95 complex	Raji cells	O60934;P49959;Q92878	4683;4361;10111	MI:0004- affinity chromatography technologies	GO:0006308;GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;10.03.01.03;16.03.01;32.01.09;70.10	DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus	Nibrin ;Double-strand break repair protein MRE11A ;DNA repair protein RAD50	Nibrin is mutated in Nijmegen breakage syndrome.	NBS NBS1 P95;HNGS1 MRE11;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NBN;MRE11A;RAD50	MRN complex possesses manganese-dependent single-stranded DNA endonuclease and 3' to 5' exonuclease activities, important for recombination, repair, and genomic stability.	None	9705271
174	Ric-8A G(o) alpha-2 subunit complex	Rat	None	None	P59215;Q80ZG1	50664;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein G;Synembryn-A	None	Gna0 Gnao;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gnao1;Ric8a	None	None	12509430
175	Ric-8A G(q) alpha subunit complex	Rat	None	None	P82471;Q80ZG1	81666;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein G;Synembryn-A	None	;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gnaq;Ric8a	None	None	12509430
176	Ric-8A G alpha 13 complex	Rat	None	None	Q6Q7Y5;Q80ZG1	303634;293614	MI:0018- two hybrid; MI:0027- cosedimentation	GO:0005085	guanyl-nucleotide exchange factor activity	18.02.03	guanyl-nucleotide exchange factor (GEF)	Guanine nucleotide-binding protein subunit alpha-13 ;Synembryn-A	None	;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Gna13;Ric8a	None	None	12509430
177	OGT-TRAK1-TRAK2 complex	Human	None	None	O15294;O60296;Q9UPV9	8473;66008;22906	MI:0019- coimmunoprecipitation; MI:0018- two hybrid	GO:0018126;GO:0006479;GO:0007214	protein hydroxylation;protein methylation;gamma-aminobutyric acid signaling pathway	14.07.09;30.05.02.24.04	posttranslational modification of amino acids (e.g. hydroxylation, methylation);gamma-aminobutyric acid signalling pathway	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit ;Trafficking kinesin-binding protein 2 ;Trafficking kinesin-binding protein 1	None	;ALS2CR3 KIAA0549;KIAA1042 OIP106	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	OGT;TRAK2;TRAK1	O-GlcNAc, OGT, and GRIF-1 could be involved in GABA signaling. GRIF-1 would function as an adaptor/scaffolding protein, bridging OGT to GABAA receptor in this model.	None	12435728
178	Respiratory chain complex I (holoenzyme), mitochondrial	Human	NADH:ubiquinone oxidoreductase (EC 1.6.5.3)	None	O00217;O00483;O14561;O15239;O43181;O43674;O43676;O43677;O43678;O43920;O75251;O75306;O75380;O75438;O75489;O95139;O95167;O95168;O95169;O95178;O95182;O95298;O95299;O96000;P03886;P03891;P03897;P03901;P03915;P03923;P17568;P19404;P28331;P49821;P51970;P56181;P56556;Q16718;Q16795;Q86Y39;Q9NX14;Q9P0J0;Q9UI09;Q9Y6M9	4728;4697;4706;4694;4724;4711;4709;4717;4695;4725;374291;4720;4726;4707;4722;4712;4696;4710;4714;4708;4701;4718;4705;4716;4535;4536;4537;4539;4540;4541;4713;4729;4719;4723;4702;4731;4700;4698;4704;126328;54539;51079;55967;4715	MI:0006- anti bait coimmunoprecipitation	GO:0006091;GO:0009060;GO:0006818;GO:0022904;GO:0005743	generation of precursor metabolites and energy;aerobic respiration;hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane	01;02.13.03;20.01.15;02.11.07;70.16.05	METABOLISM;aerobic respiration;electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial ;Cytochrome c oxidase subunit NDUFA4 ;Acyl carrier protein, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 ;NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 ;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 ;NADH dehydrogenase [ubiquinone] 1 subunit C2 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 ;NADH-ubiquinone oxidoreductase chain 1 ;NADH-ubiquinone oxidoreductase chain 2 ;NADH-ubiquinone oxidoreductase chain 3 ;NADH-ubiquinone oxidoreductase chain 4L ;NADH-ubiquinone oxidoreductase chain 5 ;NADH-ubiquinone oxidoreductase chain 6 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 ;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial ;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial ;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ;NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 ;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	None	;;;;;;;;;;;;;;;;;;;;;;;;MTND1 NADH1 ND1;MTND2 NADH2 ND2;MTND3 NADH3 ND3;MTND4L NADH4L ND4L;MTND5 NADH5 ND5;MTND6 NADH6 ND6;;;;UQOR1;;;LYRM6 NADHB14;;NDUFS2L;;;GRIM19;DAP13;LYRM3 UQOR22	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9	Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.	None	12611891
179	Nephrin multiprotein complex	Rat	None	None	B5DFH1;O88382;P16086;Q62915;Q9QXQ0;Q9R044;Q9WUX0;Q9Z1P2	361598;113970;64159;29647;63836;64563;305614;81634	MI:0096- pull down; MI:0051- fluorescence technologies; MI:0069- mass spectrometry studies of complexes	GO:0016337;GO:0007043;GO:0030154	single organismal cell-cell adhesion;cell-cell junction assembly;cell differentiation	34.07.01;42.06.04;40.02	cell-cell adhesion;intercellular junction (gap junction/adherens junction);cell differentiation	Iqgap1 protein ;Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 ;Spectrin alpha chain, non-erythrocytic 1 ;Peripheral plasma membrane protein CASK ;Alpha-actinin-4 ;Nephrin ;Beta II spectrin ;Alpha-actinin-1	None	;Acvrinp1 Aip1 Sscam;Spna2 Spta2;;;Nphn;Spnb1 sptbn1;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Iqgap1;Magi2;Sptan1;Cask;Actn4;Nphs1;Sptbn1;Actn1	None	None	15994232
180	PNUTS-PP1 complex	Human	None	None	P62136;Q96QC0	5499;5514	MI:0019- coimmunoprecipitation	GO:0004857	enzyme inhibitor activity	18.02.01.02	enzyme inhibitor	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit ;Serine/threonine-protein phosphatase 1 regulatory subunit 10	None	PPP1A;CAT53 FB19 PNUTS	Homo sapiens (Human);Homo sapiens (Human)	PPP1CA;PPP1R10	None	None	12574161
181	26S proteasome	Human	None	None	O14818;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P49720;P49721;P55036;P60900;P62191;P62195;P62333;Q99436;Q9UNM6	5688;5702;5689;5682;5683;5684;5685;5686;5692;5694;5693;5701;5704;5691;5690;5710;5687;5700;5705;5706;5695;5719	MI:0019- coimmunoprecipitation	GO:0043161;GO:0006511;GO:0005515;GO:0006950;GO:0005737;GO:0005634	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;response to stress;cytoplasm;nucleus	14.13.01.01;16.01;32.01;70.03;70.10	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;stress response;cytoplasm;nucleus	Proteasome subunit alpha type-7 ;26S protease regulatory subunit 6A ;Proteasome subunit beta type-1 ;Proteasome subunit alpha type-1 ;Proteasome subunit alpha type-2 ;Proteasome subunit alpha type-3 ;Proteasome subunit alpha type-4 ;Proteasome subunit alpha type-5 ;Proteasome subunit beta type-4 ;Proteasome subunit beta type-6 ;Proteasome subunit beta type-5 ;26S protease regulatory subunit 7 ;26S protease regulatory subunit 6B ;Proteasome subunit beta type-3 ;Proteasome subunit beta type-2 ;26S proteasome non-ATPase regulatory subunit 4 ;Proteasome subunit alpha type-6 ;26S protease regulatory subunit 4 ;26S protease regulatory subunit 8 ;26S protease regulatory subunit 10B ;Proteasome subunit beta type-7 ;26S proteasome non-ATPase regulatory subunit 13	None	HSPC;TBP1;PSC5;HC2 NU PROS30 PSC2;HC3 PSC3;HC8 PSC8;HC9 PSC9;;PROS26;LMPY Y;LMPX MB1 X;MSS1;MIP224 TBP7;;;MCB1;PROS27;;SUG1;SUG2;Z;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.	None	11812135
182	Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b)	Rat	None	None	P04774;P21707;Q00954	81574;25716;29686	MI:0006- anti bait coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0006887;GO:0050896;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	20.01.01.01;20.03.01.01;20.09.16.09.03;36.25;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached	Sodium channel protein type 1 subunit alpha ;Synaptotagmin-1 ;Sodium channel subunit beta-1	None	;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Scn1a;Syt1;Scn1b	The results imply that synaptotagmin can associate with voltage-gated ion channels dependent on and independently of SNARE protein interactions.	None	10737807
183	Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b)	Rat	None	None	P04774;P29101;Q00954	81574;24805;29686	MI:0006- anti bait coimmunoprecipitation	GO:0008324;GO:0006812;GO:0005216;GO:0006887;GO:0050896;GO:0005886	cation transmembrane transporter activity;cation transport;ion channel activity;exocytosis;response to stimulus;plasma membrane	20.01.01.01;20.03.01.01;20.09.16.09.03;36.25;70.02	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;exocytosis;animal specific systemic sensing and response;eukaryotic plasma membrane / membrane attached	Sodium channel protein type 1 subunit alpha ;Synaptotagmin-2 ;Sodium channel subunit beta-1	None	;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Scn1a;Syt2;Scn1b	The results imply that synaptotagmin can associate with voltage-gated ion channels dependent on and independently of SNARE protein interactions.	None	10737807
